"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intronote","1","2"
"id","3","3"
"consent","5","6"
"group[1]/survey_region","75","11"
"group[1]/survey_country","2","86"
"group[1]/survey_city","2","89"
"group[1]/name","16","90"
"group[1]/age","9","106"
"group[1]/confirmnote","9","115"
