second,count,mean,min,max,sd,fieldname
1,15,0.8563,0.0704,1.2845,0.3429,intronote
2,27,0.3587,0.1303,0.7173,0.1499,consent
3,25,0.4094,0.1014,1.0044,0.2533,consent
4,27,0.5072,0.1521,1.5236,0.3807,
